Charge	Mass	XInit	YInit	ZInit	PxInit	PyInit	PzInit
1.000000e+000	1.000000e+000	1.202590e+001	5.122387e+000	1.513734e+001	1.736990e+005	7.398647e+004	2.186399e+005
1.000000e+000	1.000000e+000	9.667642e+000	1.460628e+001	9.653666e+000	1.396370e+005	2.109694e+005	1.394351e+005
1.000000e+000	1.000000e+000	1.090180e+001	1.436297e+001	8.651939e+000	1.574628e+005	2.074551e+005	1.249664e+005
1.000000e+000	1.000000e+000	8.142828e+000	1.181853e+001	1.392899e+001	1.176130e+005	1.707039e+005	2.011868e+005
1.000000e+000	1.000000e+000	8.713803e+000	1.381044e+001	1.154736e+001	1.258600e+005	1.994745e+005	1.667871e+005
1.000000e+000	1.000000e+000	1.220039e+001	1.489794e+001	5.403875e+000	1.762194e+005	2.151821e+005	7.805222e+004
1.000000e+000	1.000000e+000	1.186981e+001	1.608161e+001	6.994787e-001	1.714446e+005	2.322788e+005	1.010310e+004
1.000000e+000	1.000000e+000	9.800476e+000	1.458896e+001	9.545301e+000	1.415556e+005	2.107193e+005	1.378699e+005
1.000000e+000	1.000000e+000	1.326138e+001	1.491994e+001	1.237380e+000	1.915440e+005	2.154999e+005	1.787240e+004
1.000000e+000	1.000000e+000	1.326138e+001	1.491994e+001	1.237380e+000	1.915440e+005	2.154999e+005	1.787240e+004
1.000000e+000	1.000000e+000	9.085835e+000	1.143551e+001	1.366297e+001	1.312335e+005	1.651716e+005	1.973445e+005
1.000000e+000	1.000000e+000	9.085835e+000	1.143551e+001	1.366297e+001	1.312335e+005	1.651716e+005	1.973445e+005
1.000000e+000	1.000000e+000	1.096407e+001	1.526401e+001	6.840996e+000	1.583622e+005	2.204695e+005	9.880963e+004
1.000000e+000	1.000000e+000	1.042303e+001	1.212101e+001	1.201839e+001	1.505476e+005	1.750729e+005	1.735906e+005
1.000000e+000	1.000000e+000	1.105457e+001	1.432803e+001	8.514930e+000	1.596695e+005	2.069504e+005	1.229875e+005
1.000000e+000	1.000000e+000	9.226308e+000	8.619141e+000	1.551082e+001	1.332625e+005	1.244927e+005	2.240344e+005
1.000000e+000	1.000000e+000	9.226308e+000	8.619141e+000	1.551082e+001	1.332625e+005	1.244927e+005	2.240344e+005
1.000000e+000	1.000000e+000	1.022594e+001	1.091486e+001	1.327765e+001	1.477010e+005	1.576515e+005	1.917790e+005
1.000000e+000	1.000000e+000	1.235861e+001	1.483519e+001	5.213617e+000	1.785047e+005	2.142758e+005	7.530418e+004
